FP1-F7 delta,FP1-F7 theta,FP1-F7 alpha,FP1-F7 beta,F7-T7 delta,F7-T7 theta,F7-T7 alpha,F7-T7 beta,T7-P7 delta,T7-P7 theta,T7-P7 alpha,T7-P7 beta,P7-O1 delta,P7-O1 theta,P7-O1 alpha,P7-O1 beta,FP1-F3 delta,FP1-F3 theta,FP1-F3 alpha,FP1-F3 beta,F3-C3 delta,F3-C3 theta,F3-C3 alpha,F3-C3 beta,C3-P3 delta,C3-P3 theta,C3-P3 alpha,C3-P3 beta,P3-O1 delta,P3-O1 theta,P3-O1 alpha,P3-O1 beta,FP2-F4 delta,FP2-F4 theta,FP2-F4 alpha,FP2-F4 beta,F4-C4 delta,F4-C4 theta,F4-C4 alpha,F4-C4 beta,C4-P4 delta,C4-P4 theta,C4-P4 alpha,C4-P4 beta,P4-O2 delta,P4-O2 theta,P4-O2 alpha,P4-O2 beta,FP2-F8 delta,FP2-F8 theta,FP2-F8 alpha,FP2-F8 beta,F8-T8 delta,F8-T8 theta,F8-T8 alpha,F8-T8 beta,T8-P8 delta,T8-P8 theta,T8-P8 alpha,T8-P8 beta,P8-O2 delta,P8-O2 theta,P8-O2 alpha,P8-O2 beta,FZ-CZ delta,FZ-CZ theta,FZ-CZ alpha,FZ-CZ beta,CZ-PZ delta,CZ-PZ theta,CZ-PZ alpha,CZ-PZ beta,P7-T7 delta,P7-T7 theta,P7-T7 alpha,P7-T7 beta,T7-FT9 delta,T7-FT9 theta,T7-FT9 alpha,T7-FT9 beta,FT9-FT10 delta,FT9-FT10 theta,FT9-FT10 alpha,FT9-FT10 beta,FT10-T8 delta,FT10-T8 theta,FT10-T8 alpha,FT10-T8 beta,C4-P4 theta vs delta,T8-P8 theta vs delta,P7-O1 theta vs delta,FT9-FT10 theta vs alpha,FT9-FT10 theta vs beta,FT9-FT10 theta vs delta,FT9-FT10 alpha vs beta,FT9-FT10 alpha vs delta,FT9-FT10 beta vs delta,day,label,file,type
4126.850637,1540.266328,28.49649041,71.23702524,1897.222488,498.6180261,9.331770491,5.168808572,520.4605048,117.1554733,5.376057363,5.118297172,211.9555046,53.12388376,12.02123333,2.069804489,4517.741554,2052.245091,55.86006688,95.65440252,2544.085151,703.3543694,9.655016306,12.45953391,787.6612522,174.3852318,10.61768706,1.288955764,1137.820898,341.8161942,8.331892565,2.53279647,637.1481306,669.8172481,48.38824415,215.7996816,3472.883684,1220.713213,15.67742431,17.93230891,462.273319,131.9904757,17.61003798,9.030195669,720.4907886,243.470274,18.00594161,3.538619079,2436.106628,386.0645871,41.84497975,85.3319275,2608.097376,796.8022134,35.12301596,70.76095084,1270.771174,540.6823279,31.26346861,78.42075437,1120.467647,223.3787419,26.5331542,7.681541852,2364.537794,1401.498819,21.01064356,3.485675863,799.2037552,306.1214549,25.1310754,2.72556569,523.7177312,117.1560247,5.376068558,5.118297781,490.9077667,119.5870606,2.350984689,4.594907249,1192.024641,613.2864946,81.64375015,19.87450107,847.1151061,339.8108045,33.14975501,44.97621188,61015.67528,687083.5166,11259.89959,50071.00934,12188.76309,731052.6136,1622.6288,97321.36196,23690.895,1,1,3,seizure
4360.494901,1902.817669,28.74952471,62.08409021,2247.998331,476.5904984,14.95535946,13.91367448,868.9562618,242.7792638,9.697802079,11.21006112,722.1135854,229.266227,9.321835896,1.558116937,6682.845117,2707.218762,68.73901456,87.79325256,2683.495872,790.4677822,20.62345941,13.84199844,1328.043299,276.9148085,12.03637927,3.239496091,468.3885636,366.4364875,20.33048907,2.331824928,1857.417636,783.9766475,50.75987741,137.2757585,1343.311509,683.1187042,6.401392129,10.44606605,823.7329194,98.50659169,10.39430416,5.579880773,619.7457667,87.40059997,20.6083361,3.024859158,1499.518436,329.4021643,33.45066617,90.33937647,2645.024981,610.9037124,71.86656159,51.15257928,929.3184584,687.0128279,46.36096428,68.62607297,567.4709906,118.7207006,24.25677561,7.455188833,836.3077001,676.4434529,9.216533638,3.129482893,1773.052322,279.656671,15.32761719,2.314918224,874.0202353,242.7777832,9.697801733,11.21006147,521.7564232,193.1331201,10.72112607,12.12969334,349.7102019,1305.046839,52.19103371,12.02562489,475.3467796,313.7250229,37.98942178,38.68619068,81143.12235,638453.7021,165556.2572,68111.74357,15694.00375,456388.1936,627.629794,18251.73694,4205.483708,1,1,3,seizure
5893.586456,1910.747182,19.93466612,32.98659624,2714.72336,868.7445248,43.77927827,6.494360064,1127.228382,469.575114,43.36140453,4.422742582,677.711335,165.5899606,19.01720212,1.850875645,8122.750794,1404.840811,26.60110363,53.91838156,2893.709884,1112.064489,52.4434049,5.000468297,1137.994932,343.8069301,17.52583007,3.283424614,1302.169164,659.2675878,18.96866873,3.531198165,2714.662654,566.9433278,40.71224356,107.4989478,5984.743469,1844.219518,19.70575759,14.33001112,6304.427475,1766.018517,11.07948114,4.822022432,3474.817971,1472.727353,31.04328617,5.450336724,1434.979941,545.9802351,101.6278251,65.63704339,6889.948449,1879.714846,32.00128688,62.66930242,8732.3621,3065.822906,54.91653263,94.30219044,4667.966804,1704.473561,73.28104495,8.97884633,5271.475442,1643.556479,18.04993119,2.445515182,4983.976268,1334.110672,19.25864447,3.252977232,1126.854091,469.5734622,43.36143984,4.42274238,823.9967135,223.7638604,8.645005085,4.852820791,9798.679883,5139.694743,160.904102,16.75615401,1243.903807,246.7774287,26.60961916,33.21985875,11133735.66,26771875.75,112222.1933,826997.9672,86121.51668,50362223.48,2696.133914,1576647.787,164188.1892,1,1,3,seizure
6330.094496,1622.086862,21.05014426,7.267694721,2945.110279,518.5846701,18.05664078,6.75177605,1040.075984,130.907971,39.25794051,10.92487386,305.9479813,91.8198424,11.28118627,2.079398894,7649.529189,3347.969183,22.54403389,6.530413275,1828.431529,576.0357997,35.73556697,5.573378073,645.3078381,212.6081789,21.32035036,3.373140622,1075.145538,250.6997939,7.547795158,2.051691965,2637.340424,1368.577318,24.73564707,25.43713775,1295.182179,749.2802659,25.78486578,5.262015224,1330.348063,333.8173496,31.13735209,5.354195503,799.0604056,148.1463458,30.82984542,4.978606164,2918.673024,804.5560296,35.44410039,19.90577183,4817.534707,1290.20038,60.44467731,45.52437711,1919.696357,1079.875615,55.16350304,82.66990454,2448.964279,1384.336896,46.97856693,8.832327713,1245.015631,665.7147636,22.97961529,2.314945241,1788.117176,559.671548,28.29325861,3.759330426,1037.985507,130.9069127,39.25794017,10.92487361,275.4035766,56.15974841,4.457513149,6.0926793,6861.808267,4969.418605,106.4430712,16.64547935,1634.664895,492.4959143,30.37106166,45.99973993,444093.2644,2073033.284,28092.09543,528960.1784,82718.35477,34099197.67,1771.795944,730391.9459,114218.0878,1,1,3,seizure
8725.960507,1673.111732,32.7020381,8.811299612,2378.995873,820.0899575,78.79407035,4.661018903,3241.900657,456.655031,31.6572291,4.31239141,1009.57902,104.3340444,24.93836039,2.584772472,7270.407569,1262.301382,35.21016116,11.62463669,3154.819051,1619.508903,59.81319447,3.000201223,824.1925635,334.8686863,21.52581657,1.384385905,1242.535597,169.9413549,5.956660737,1.991904599,5253.816397,847.1912246,18.80612181,14.27396692,5115.281577,1583.669514,57.34081923,4.410710656,2003.461767,851.1821696,20.25333789,2.399710872,1332.645814,266.3833965,23.41139837,2.50697295,2062.860362,819.0205494,30.24047117,9.581641695,4725.325118,1100.247839,24.01839229,25.21403412,2950.207933,1516.487375,39.19578922,46.86593953,1063.304351,416.784909,30.07205739,6.004692256,3386.197019,1190.975189,45.97750271,1.662635779,1149.27835,754.2714638,37.02049158,1.466813726,3228.392417,456.6540751,31.65724193,4.312390706,260.943037,99.26574556,17.98084472,3.143081675,5954.580266,1348.559702,68.63120371,16.15780141,244.3615255,222.7858383,12.64073855,22.29164119,1705310.934,4473953.084,105333.4623,92553.27562,21789.75985,8030106.989,1108.92936,408670.0112,96212.92542,1,1,3,seizure
11557.03723,819.0296438,52.88268402,18.40648194,2854.953777,395.1531017,37.64632767,7.232993178,866.6743793,140.6768141,33.20122861,2.950926098,729.3060122,275.4933989,10.44121819,3.135185739,10330.04814,1934.58953,80.75259889,23.65263099,4560.778377,883.5036948,43.66850644,6.949935092,1083.846825,257.283747,19.60651145,2.917978726,1790.487276,285.9720711,23.51593517,7.094710562,5360.862117,1324.628733,50.3568115,28.58581872,10649.30053,2332.351406,12.86455752,3.316594533,3673.880237,846.4281805,14.02786537,5.190950537,856.5099218,357.3772042,45.28200574,4.933301382,11147.35137,688.8754794,48.2195205,18.37773116,13748.59143,1673.158043,60.78050554,17.99831089,3286.952302,1698.941533,73.07008516,12.82734402,11051.21041,1109.767746,48.94427889,5.356600713,8126.468458,1833.767003,16.3370325,1.927561385,2861.370981,633.4805308,16.50665066,3.008500208,866.9092415,140.6773036,33.20121502,2.950926746,720.1534464,192.5571967,14.46779357,8.972858476,7438.902972,912.6062528,110.4727247,21.76227774,3304.224257,871.0224042,41.09470572,7.108515737,3109675.764,5584339.783,200918.9921,100818.0993,19860.39074,6788789.366,2404.138118,821795.8801,161887.4726,1,1,3,seizure
4015.849885,861.9747001,18.25234833,19.00992378,495.1815712,206.4897991,10.98554969,2.375338555,675.8239949,84.5432484,16.36317537,1.485515642,823.8069085,64.71752141,12.0958342,3.231016888,6947.963126,1792.325247,28.95858832,30.99219647,633.6766521,180.4299895,10.63947147,8.027490777,625.7030982,136.667233,7.622836508,1.723629117,1072.880757,65.24649887,14.52968328,6.826609139,3919.399156,1627.444657,19.97927669,104.2427324,835.3396891,279.1158526,8.058560841,5.323115905,932.6908422,309.6405181,5.88574106,5.978875616,709.08299,121.3354792,5.669156143,3.409837766,2088.668457,497.382878,29.98477017,59.2409576,1683.005537,243.2823485,12.95135027,34.84999061,561.0217651,209.9542894,21.12148605,34.35085707,760.9937415,121.7308753,12.51912468,6.94547734,614.3757963,217.3257922,6.595141832,1.456355905,1246.034183,364.2356755,10.33427478,2.065304289,678.8740442,84.54284789,16.36316992,1.485514936,579.0313375,73.99800326,5.653201081,8.295998408,1492.313516,329.4144364,104.4400799,32.37305071,369.3381955,37.36100454,12.03978326,16.980517,288798.8756,117788.926,53314.74124,34404.07006,10664.15025,491589.6158,3381.044003,155857.3428,48310.74113,1,1,3,seizure
2190.1311,758.676942,28.21545407,4.048149812,893.5344829,237.2806227,12.72326356,1.853824977,226.6467023,84.14676614,8.653825916,1.342423355,321.5190048,36.87305536,12.67359388,3.693166832,2670.135448,535.8252443,27.43679519,4.288701639,732.9430374,414.0509708,11.61024807,6.541633638,701.7536422,125.6297599,9.14240462,2.082084582,509.6606808,40.7795304,8.597886234,7.671534989,773.6452759,490.6046107,28.53081158,8.840952889,379.5298718,221.0041385,7.46542449,8.969385613,1056.179824,137.8882384,5.610684925,6.957190352,1576.370673,69.44499606,16.51794115,5.419658366,4226.933764,985.752003,21.3433096,30.19352545,331.5954221,204.3281094,45.64177929,85.67731006,3538.684941,214.1179431,26.42211261,80.35312938,1496.983072,128.3383244,16.48231898,6.829826346,317.8640128,275.6428536,9.170188509,1.120770186,931.4507786,211.2556435,11.12716914,1.498532184,224.8828079,84.14655057,8.653868531,1.34242343,330.0850593,57.87528304,4.673782081,7.956580625,1663.358236,339.24435,71.30082326,33.90709452,2422.400765,235.9448266,21.14595894,72.58426111,145634.7754,757695.9408,11855.38806,24188.40144,11502.79024,564284.8836,2417.603754,118598.8116,56399.64493,1,1,3,seizure
1893.692357,471.9048099,12.47727286,3.369651136,1209.489504,133.9940527,6.023921728,1.895351372,475.4178257,149.0629752,6.689300853,1.079606271,457.1337666,70.74989647,4.187987609,3.13016479,2129.810726,439.2447981,14.74127309,4.963501117,1238.371028,375.0795313,5.905172647,7.018572424,640.196399,86.80382385,7.776413047,1.82801872,1074.047009,39.07688457,3.182674462,6.975282221,1261.370835,546.4202109,8.326726529,6.986187886,588.3357818,210.7282677,13.7548744,3.452477922,453.8740677,106.8111166,9.224253098,7.745407427,1389.583228,143.2900751,5.419551612,4.496553213,1183.148421,441.3472826,9.733212266,18.16644046,1111.774226,359.1349637,20.61887668,52.3386513,784.1274249,104.3372154,40.63217343,55.45068177,1416.81155,164.4131115,5.904983314,9.726186001,473.1077284,154.6496887,7.059328115,1.201149688,878.2742851,219.4777019,13.07553927,2.085253855,478.5499165,149.0630246,6.689292972,1.079605621,639.5680253,29.58687454,2.798239455,7.381099309,1239.688856,193.1912871,41.75248854,25.02376072,559.508761,57.84795814,7.341884186,44.0361419,48478.79597,81813.67203,32342.16666,8066.217001,4834.372542,239497.0857,1044.804283,51760.09475,31021.6773,1,1,3,seizure
719.5876173,552.4384598,6.93828535,3.493415799,1176.72868,142.9001163,14.49994763,3.394703312,407.8226515,125.3159994,17.22519482,2.100117156,893.531177,67.16207251,6.964343857,3.546431696,953.7716657,670.7241026,31.80265288,4.872676697,969.0366971,401.5129692,15.39447147,5.364047626,236.4874589,135.707631,9.790484837,2.149872344,1081.054163,73.49431838,11.69970487,8.591136224,576.3122752,306.6585732,11.07220899,1.907624336,1710.015141,728.2065213,16.03099781,1.377607255,347.4981732,163.8061404,3.175258058,3.398794699,1703.695526,253.0715862,21.03221444,4.128793719,1680.003618,1133.472785,8.330766896,3.672607604,1540.02351,605.8087088,15.1175935,9.223347905,833.2440199,286.9153847,19.09502331,4.360261015,811.1928135,125.0938181,23.3717999,4.935404397,796.9090434,352.03818,17.6041975,1.537133187,600.0184858,231.1719377,5.498703883,1.050349756,408.960798,125.3171536,17.2252015,2.100117386,575.3933466,43.02592078,5.104140181,9.057428602,1804.237814,447.0091237,57.03037481,28.07874721,594.7655507,170.9615303,8.046517455,3.764583812,56922.33455,239070.5285,60011.4057,25493.09787,12551.45618,806510.7642,1601.341478,102896.3588,50660.73749,1,1,3,seizure
